#x u rho mdot phi T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0.0500676 1.25369 0.290076 0.3 1.32155 1069.1 1256.29 0.631286 0.000826847 4.80187e-08 0.190761 3.4838e-07 0.00227609 4.22174e-08 6.81743e-07 3.98874e-06 2.79966e-05 2.05251e-05 6.35267e-06 1.3112e-06 6.03288e-09 1.51535e-07 3.07645e-11 1.62706e-05 1.97495e-07 8.29825e-08 2.01019e-07 0.174681 2.4402e-05 1.86791e-10 1.65807e-10 2.26699e-07 2.70781e-11 5.34989e-05 1.14328e-05 5.66489e-07 
0.0501164 1.27685 0.284816 0.3 1.32229 1087.58 1275.8 0.631351 0.000920774 6.90593e-08 0.190409 4.88187e-07 0.00302509 6.5514e-08 8.44435e-07 4.59948e-06 3.88891e-05 3.10192e-05 8.42806e-06 1.92888e-06 8.5819e-09 2.11037e-07 4.31578e-11 2.28684e-05 3.16669e-07 1.12756e-07 2.63903e-07 0.174068 3.14573e-05 3.65019e-10 2.32441e-10 3.37412e-07 5.08724e-11 6.94237e-05 1.42281e-05 7.63585e-07 
0.0501652 1.30153 0.279415 0.3 1.32273 1107.15 1295.86 0.63146 0.00102488 9.93648e-08 0.189926 6.82547e-07 0.0040066 1.02023e-07 1.03388e-06 5.30941e-06 5.37023e-05 4.65687e-05 1.09887e-05 2.81129e-06 1.19815e-08 2.89203e-07 5.9183e-11 3.18758e-05 5.01203e-07 1.51792e-07 3.42872e-07 0.173279 3.97954e-05 7.11047e-10 3.16294e-10 5.0043e-07 9.53366e-11 9.00816e-05 1.74738e-05 1.01266e-06 
0.0502141 1.32807 0.273829 0.3 1.32278 1128.06 1316.51 0.631637 0.0011401 1.43123e-07 0.189264 9.53163e-07 0.00528606 1.59638e-07 1.2494e-06 6.13873e-06 7.36939e-05 6.94003e-05 1.40498e-05 4.05777e-06 1.63436e-08 3.88967e-07 7.90151e-11 4.40202e-05 7.81533e-07 2.02286e-07 4.40933e-07 0.172268 4.9287e-05 1.38293e-09 4.16406e-10 7.40731e-07 1.7811e-10 0.000116899 2.11523e-05 1.31939e-06 
0.0502629 1.35691 0.26801 0.3 1.32237 1150.63 1337.82 0.63191 0.00126745 2.06495e-07 0.188364 1.33099e-06 0.00694434 2.51305e-07 1.48773e-06 7.11073e-06 0.000100461 0.000102583 1.75739e-05 5.79832e-06 2.16664e-08 5.11874e-07 1.02212e-10 6.01711e-05 1.19804e-06 2.66638e-07 5.61477e-07 0.170975 5.96018e-05 2.68959e-09 5.28432e-10 1.09597e-06 3.31516e-10 0.000151735 2.52065e-05 1.68634e-06 
0.0503117 1.38858 0.261898 0.3 1.32139 1175.25 1359.86 0.632321 0.00140796 2.98538e-07 0.187147 1.86027e-06 0.00907969 3.98456e-07 1.74199e-06 8.25198e-06 0.000136009 0.000150248 2.14483e-05 8.19988e-06 2.77425e-08 6.56735e-07 1.27379e-10 8.13302e-05 1.80079e-06 3.47319e-07 7.08367e-07 0.169331 7.01595e-05 5.23558e-09 6.43644e-10 1.62322e-06 6.14316e-10 0.000196992 2.95312e-05 2.11106e-06 
0.0503605 1.42373 0.255431 0.3 1.31978 1202.42 1382.69 0.632926 0.0015627 4.32501e-07 0.185513 2.60379e-06 0.0118092 6.3675e-07 2.0007e-06 9.59262e-06 0.000182816 0.000217795 2.54676e-05 1.14714e-05 3.40698e-08 8.17972e-07 1.51994e-10 0.0001086 2.64544e-06 4.46628e-07 8.85876e-07 0.167248 8.01144e-05 1.01876e-08 7.48751e-10 2.4086e-06 1.13213e-09 0.000255727 3.39709e-05 2.58388e-06 
0.050385 1.44294 0.252031 0.3 1.3187 1217.19 1394.43 0.633331 0.00164635 5.22995e-07 0.184488 3.09246e-06 0.0134591 8.10725e-07 2.12617e-06 1.03561e-05 0.000211767 0.00026187 2.74303e-05 1.35414e-05 3.7035e-08 9.00898e-07 1.63109e-10 0.000125061 3.18042e-06 5.04304e-07 9.87995e-07 0.165995 8.4494e-05 1.43625e-08 7.91817e-10 2.94924e-06 1.53987e-09 0.000291817 3.61735e-05 2.83153e-06 
0.0504094 1.46343 0.248502 0.3 1.31745 1232.91 1406.41 0.633824 0.00173414 6.32831e-07 0.183293 3.67609e-06 0.0153287 1.03534e-06 2.24556e-06 1.11884e-05 0.00024518 0.000314638 2.93037e-05 1.59583e-05 3.96988e-08 9.82978e-07 1.72626e-10 0.000143701 3.80046e-06 5.67847e-07 1.1004e-06 0.164581 8.8243e-05 2.02626e-08 8.25008e-10 3.61687e-06 2.0942e-09 0.000333107 3.83272e-05 3.08317e-06 
0.0504338 1.48535 0.244836 0.3 1.31602 1249.67 1418.63 0.634419 0.0018262 7.66311e-07 0.181904 4.37291e-06 0.0174416 1.32633e-06 2.35556e-06 1.2094e-05 0.000283656 0.000377493 3.10319e-05 1.87652e-05 4.18983e-08 1.06141e-06 1.79895e-10 0.000164692 4.50876e-06 6.37424e-07 1.2242e-06 0.162985 9.11747e-05 2.8622e-08 8.45611e-10 4.44225e-06 2.84632e-09 0.000380239 4.04005e-05 3.33419e-06 
