#x u T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
0.02094154011 0.3455043681 300.0000001 300.0000001 0.6490772517 5.620216964e-42 2.378187768e-66 0.197077163 4.046168334e-50 5.941737964e-47 1.9236648e-51 4.800184944e-44 1.516499441e-34 3.97259585e-51 7.817270384e-61 1.978730914e-63 1.022564418e-46 2.904835418e-82 5.472259331e-78 3.037172976e-107 4.602426235e-82 1.397223706e-64 6.895266483e-67 9.913217539e-69 0.1538455853 1.941087447e-62 1.297088573e-97 1.926935342e-61 1.037688725e-66 7.261165008e-75 7.374339628e-35 8.782955731e-50 6.802164783e-70
0.02134805119 0.3455043681 300.0000001 300.0000002 0.6490772517 1.562600855e-41 2.42323393e-66 0.197077163 4.192016454e-50 6.165149071e-47 1.960219503e-51 4.980984829e-44 1.54536374e-34 4.19431152e-51 8.244252401e-61 2.095069498e-63 1.061015534e-46 3.129528575e-82 5.895707968e-78 3.333252461e-107 4.872894996e-82 1.452724123e-64 7.280122667e-67 1.046650829e-68 0.1538455853 2.051640868e-62 1.37693048e-97 2.068919221e-61 1.079179062e-66 7.398885315e-75 7.514456977e-35 9.113231247e-50 7.18948454e-70
0.02174886014 0.3455043681 300.0000002 300.0000002 0.6490772517 4.305510257e-41 2.467930666e-66 0.197077163 4.338135151e-50 6.389461834e-47 1.996261563e-51 5.16251995e-44 1.57382316e-34 4.420843411e-51 8.679876302e-61 2.214166532e-63 1.099621805e-46 3.36361797e-82 6.336874044e-78 3.647378975e-107 5.14977211e-82 1.508507527e-64 7.673339801e-67 1.103181885e-68 0.1538455853 2.164676781e-62 1.458841058e-97 2.216450979e-61 1.120887016e-66 7.535291413e-75 7.652608905e-35 9.444839928e-50 7.585498394e-70
0.02214404696 0.3455043682 300.0000002 300.0000003 0.6490772517 1.175717082e-40 2.512001889e-66 0.197077163 4.484446107e-50 6.614551202e-47 2.031798167e-51 5.344688864e-44 1.601883381e-34 4.652039371e-51 9.123833934e-61 2.335940846e-63 1.138361706e-46 3.6070723e-82 6.795698879e-78 3.97988201e-107 5.432868896e-82 1.564540379e-64 8.074653784e-67 1.160876951e-68 0.1538455853 2.280118742e-62 1.542913602e-97 2.369499386e-61 1.162787258e-66 7.669755597e-75 7.78882298e-35 9.77759688e-50 7.989938552e-70
0.0225336905 0.3455043683 300.0000003 300.0000004 0.6490772517 3.182019042e-40 2.55561323e-66 0.197077163 4.630874637e-50 6.84029701e-47 2.066836405e-51 5.527394093e-44 1.629550003e-34 4.887746092e-51 9.575816596e-61 2.460310278e-63 1.177214554e-46 3.859847014e-82 7.272098794e-78 4.331062088e-107 5.721994383e-82 1.620790435e-64 8.4837985e-67 1.219697772e-68 0.1538455853 2.397889605e-62 1.630197196e-97 2.528025901e-61 1.204855437e-66 7.802912354e-75 7.923126389e-35 1.011132444e-49 8.402534764e-70
0.02291786852 0.3455043684 300.0000004 300.0000005 0.6490772517 8.535808295e-40 2.59839431e-66 0.197077163 4.777349538e-50 7.066583814e-47 2.101383264e-51 5.710541985e-44 1.656828546e-34 5.127809434e-51 1.003551563e-60 2.587191883e-63 1.216160477e-46 4.121884886e-82 7.765966199e-78 4.701190686e-107 6.016955781e-82 1.6772267e-64 8.900506395e-67 1.279605882e-68 0.1538455853 2.517911696e-62 1.728697004e-97 2.691985027e-61 1.247068148e-66 7.933341792e-75 8.055545928e-35 1.044585191e-49 8.82301494e-70
0.02329665767 0.3455043685 300.0000005 300.0000007 0.6490772517 2.269596886e-39 2.640260952e-66 0.197077163 4.923802967e-50 7.293300762e-47 2.135445638e-51 5.894042614e-44 1.683724454e-34 5.372074775e-51 1.050262306e-60 2.716502141e-63 1.255180397e-46 4.393116644e-82 8.277170774e-78 5.090511302e-107 6.317558971e-82 1.733819397e-64 9.324509073e-67 1.340562695e-68 0.1538455853 2.640106996e-62 1.896237119e-97 2.861324681e-61 1.289402898e-66 8.061428815e-75 8.186108028e-35 1.078101541e-49 9.251105783e-70
0.02367013356 0.3455043687 300.0000007 300.0000009 0.6490772517 5.98184749e-39 2.682065333e-66 0.197077163 5.070170297e-50 7.520341423e-47 2.169030322e-51 6.07780964e-44 1.710243096e-34 5.620387282e-51 1.097683201e-60 2.848157126e-63 1.294255993e-46 4.67346153e-82 8.805560531e-78 5.499249555e-107 6.623608898e-82 1.790539922e-64 9.755537769e-67 1.402529574e-68 0.1538455853 2.764397286e-62 2.542027849e-97 3.035986527e-61 1.331838082e-66 8.188806038e-75 8.314838743e-35 1.111665757e-49 9.686533295e-70
0.02403837071 0.3455043689 300.0000009 300.0000012 0.6490772517 1.562877301e-38 2.723240268e-66 0.197077163 5.21638999e-50 7.74760366e-47 2.202144017e-51 6.261760201e-44 1.736389763e-34 5.872592191e-51 1.145783728e-60 2.982072684e-63 1.333369687e-46 4.962827911e-82 9.350962957e-78 5.927706145e-107 6.934909982e-82 1.847360806e-64 1.019332384e-66 1.465467897e-68 0.1538455853 2.890704296e-62 6.516461737e-97 3.215906331e-61 1.374352951e-66 8.314552831e-75 8.441763764e-35 1.145262739e-49 1.01290233e-69
0.0244014426 0.3455043692 300.0000012 300.0000015 0.6490772517 4.047975174e-38 2.763211191e-66 0.197077163 5.362403481e-50 7.974989482e-47 2.234793332e-51 6.445814804e-44 1.762169674e-34 6.128535069e-51 1.194533572e-60 3.118164588e-63 1.372504611e-46 5.261113862e-82 9.913186122e-78 6.377099532e-107 7.251266491e-82 1.904255683e-64 1.063759922e-66 1.529339127e-68 0.1538455853 3.01894984e-62 3.33759932e-96 3.401014308e-61 1.416927586e-66 8.436965129e-75 8.566908421e-35 1.178877998e-49 1.057830194e-69
